@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
508,513,509,508,514,512,512,506,506,509,512,513,510,513,512,513,510,513,512,508,509,510,509,511,510,516,516,514,515,509,508,510,509,510,508,506,510,512,509,510,512,510,509,510,510,512,512,515,515,508,510,510,512,512,512,513,512,507,508,515,512,512,509,507,508,509,512,509,508,513,515,507,506,507,509,A
510,508,505,508,512,512,511,513,512,513,514,516,516,510,508,508,510,514,508,505,502,505,510,507,510,515,522,519,513,510,510,508,504,497,508,511,518,518,512,508,504,508,514,518,513,508,510,505,511,514,512,513,510,512,512,509,508,504,510,512,512,512,513,515,510,507,509,508,508,510,516,516,512,512,510,A
512,510,507,510,508,512,512,514,514,508,508,510,512,511,509,512,513,512,508,502,505,512,514,510,518,519,515,512,508,509,510,507,509,510,509,510,509,507,508,512,514,513,508,508,515,517,509,508,509,512,510,509,513,508,508,508,507,508,513,515,515,514,513,506,511,510,514,509,502,508,512,510,512,509,512,A
512,510,508,505,511,512,512,515,514,510,510,512,512,510,515,512,505,507,512,510,512,512,512,514,512,512,513,508,507,512,511,510,517,513,508,511,507,505,508,513,510,513,515,510,507,512,512,509,512,508,512,516,508,510,508,507,510,512,512,509,511,513,513,510,508,509,504,513,512,512,513,512,513,513,509,A
508,506,510,507,510,509,513,513,512,510,508,510,508,514,512,504,506,512,515,512,515,520,515,513,508,512,508,511,512,513,504,505,505,512,508,508,508,512,513,510,514,515,508,512,514,512,510,513,510,508,510,511,507,502,499,504,504,510,515,516,513,517,514,512,508,515,510,516,515,510,508,506,505,508,510,A
512,510,511,505,508,506,513,510,516,519,515,506,513,510,511,508,516,511,510,506,509,515,514,509,516,512,512,508,514,506,505,505,512,516,515,512,514,509,509,511,512,508,513,508,513,512,510,510,513,512,516,514,507,507,508,504,512,513,511,506,508,510,513,512,510,513,504,513,511,504,508,513,504,512,505,A
515,521,521,516,516,509,512,512,511,512,512,506,506,506,505,513,510,514,508,510,506,512,508,512,515,509,511,512,506,514,512,508,513,509,512,511,516,507,514,506,508,511,513,512,518,512,512,512,507,510,503,506,507,513,512,513,518,513,507,512,515,511,518,513,510,509,508,504,510,509,511,516,508,510,508,A
515,507,512,514,517,516,515,508,510,510,510,512,511,510,500,508,513,512,513,507,515,505,513,509,510,510,509,507,511,510,506,510,512,512,510,516,515,512,512,515,514,512,515,510,511,508,509,508,510,508,510,506,508,510,508,513,512,514,510,515,513,514,512,510,508,511,513,506,510,510,515,510,508,506,508,A
505,516,514,510,513,517,515,518,515,511,507,508,515,512,507,504,511,507,508,514,516,510,513,513,513,506,516,510,512,510,512,515,508,510,508,508,506,510,508,509,510,518,513,514,508,514,506,508,508,515,512,510,508,515,508,508,512,510,510,513,513,515,511,513,512,514,508,513,509,511,508,511,510,509,505,A
521,520,518,516,517,510,512,512,512,504,513,516,513,512,518,514,515,516,519,515,514,508,504,502,505,508,506,508,512,505,509,512,512,508,504,507,510,504,510,512,516,512,512,504,506,510,512,506,511,508,515,509,513,512,512,510,513,512,515,513,510,504,512,514,510,508,509,508,507,513,515,509,512,519,519,A
509,512,511,505,510,512,512,510,512,511,514,513,513,504,509,510,511,504,510,513,516,513,513,504,504,508,510,514,512,517,510,506,507,508,510,511,520,515,516,512,513,515,510,505,508,510,506,505,512,513,506,509,508,515,515,514,514,511,508,513,510,512,513,513,512,509,510,513,512,508,510,510,511,512,510,A
513,514,512,512,508,507,507,512,511,512,508,512,508,510,514,515,508,508,507,516,514,507,512,513,508,506,506,514,507,508,508,510,510,509,508,516,514,516,513,520,513,510,510,510,507,506,512,513,505,504,510,519,514,506,513,514,512,508,513,518,511,508,513,511,509,506,512,512,511,508,515,509,505,508,515,A
