@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
513,509,512,510,522,516,518,512,515,508,504,504,510,508,510,512,519,514,514,508,502,504,500,505,514,515,515,510,515,518,508,510,512,508,508,508,514,514,510,509,512,512,515,515,519,518,520,514,514,509,514,514,515,506,501,500,504,504,512,512,515,505,502,505,510,510,510,510,510,507,513,512,510,505,508,A
504,505,514,516,515,507,508,506,513,514,514,512,510,510,512,510,514,504,497,502,510,512,518,515,513,515,513,514,510,510,510,511,515,508,509,510,510,507,512,514,515,512,509,508,511,514,510,510,512,511,512,505,509,509,511,511,512,512,510,508,506,506,510,516,516,514,511,505,511,512,510,512,513,513,512,A
512,512,508,505,507,508,513,514,508,505,508,510,512,515,515,515,513,515,510,509,505,508,507,510,516,513,514,513,504,504,507,510,512,510,508,508,512,510,512,510,508,508,510,515,518,518,515,519,513,509,504,506,508,509,508,505,506,509,510,510,510,518,522,517,505,504,513,515,514,512,514,502,504,508,505,A
508,510,514,511,505,512,516,518,514,508,513,514,513,515,510,510,510,505,513,512,505,508,508,508,517,518,520,508,504,502,505,509,507,506,515,516,517,508,505,507,511,512,513,508,512,515,519,512,507,510,512,510,516,511,512,509,512,514,508,518,513,510,506,501,507,510,505,510,518,519,519,515,512,510,510,A
510,509,511,509,512,515,515,518,514,509,504,502,508,513,512,513,508,506,509,510,514,513,508,512,515,510,508,505,510,506,511,511,512,515,515,506,510,505,507,509,514,519,518,514,512,515,514,507,506,512,512,510,514,513,515,508,505,504,505,508,507,510,514,512,509,508,508,508,509,510,518,518,509,505,505,A
510,508,509,514,512,510,512,508,509,509,508,512,513,515,512,508,510,509,512,512,509,510,512,509,505,505,509,510,512,515,516,515,510,510,510,514,513,509,509,506,507,505,507,514,518,513,512,508,512,516,510,510,509,508,511,514,512,513,510,512,512,510,510,506,504,504,510,512,514,513,508,509,512,512,514,A
515,518,515,512,506,505,502,511,515,518,515,511,512,510,510,511,506,510,512,513,512,510,508,507,511,510,505,508,512,514,506,505,507,510,514,515,519,515,509,505,508,508,512,515,517,514,506,502,504,512,513,515,513,508,507,511,515,514,512,512,510,510,512,511,512,508,513,514,515,513,510,510,505,504,508,A
507,512,517,515,518,512,513,507,504,508,512,512,512,512,512,506,508,508,511,510,510,506,512,512,512,512,511,514,513,510,517,515,508,508,506,508,508,508,512,507,506,509,513,515,518,515,512,512,512,508,505,510,513,509,507,510,508,510,510,514,518,513,513,512,512,513,512,512,510,508,506,508,510,511,510,A
512,510,510,508,503,508,512,514,512,508,512,515,515,512,506,504,507,508,512,510,516,512,510,510,511,512,512,516,514,510,508,506,504,511,510,508,508,513,512,513,509,510,515,510,510,510,512,512,514,515,512,508,509,506,506,513,510,508,512,510,508,510,511,513,517,515,515,510,504,507,510,505,502,505,508,A
507,514,523,519,516,513,506,511,512,511,508,509,512,518,509,507,504,505,512,513,515,510,510,515,518,514,508,500,502,506,512,514,515,515,514,510,513,512,510,509,511,512,515,512,510,506,510,508,510,512,513,510,507,507,513,513,510,514,513,515,510,510,512,512,510,510,508,508,505,511,507,506,515,517,515,A
515,509,509,510,511,513,510,510,510,510,510,513,508,510,513,515,512,510,507,508,510,508,508,509,510,510,518,520,516,508,509,511,512,508,512,510,510,509,504,511,514,515,519,515,513,512,505,506,504,512,512,514,507,508,508,508,510,513,510,515,512,504,510,508,513,516,514,512,508,506,515,514,514,509,505,A
512,512,510,508,510,510,513,517,515,509,506,510,514,512,508,513,510,513,514,513,512,508,506,512,514,508,510,509,512,509,513,512,510,512,516,511,515,512,510,513,514,512,504,504,502,507,510,511,506,510,515,517,512,508,508,511,512,513,515,514,511,510,510,505,512,511,518,518,518,513,508,508,508,510,508,A
