@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
511,508,508,508,515,515,513,517,515,512,511,512,510,508,510,505,506,512,512,516,515,512,509,503,504,509,512,512,513,510,510,513,508,508,509,513,517,514,512,512,508,510,514,516,508,508,510,515,512,511,512,508,506,510,516,510,510,515,514,510,510,512,508,505,505,508,510,507,508,512,506,507,515,515,510,U
515,511,512,513,510,513,512,513,511,512,512,512,512,512,507,507,512,505,510,512,508,512,512,508,510,508,510,512,508,510,509,510,515,512,510,514,510,508,510,508,516,514,508,508,511,509,511,507,505,505,508,510,512,515,513,514,512,511,509,514,510,511,508,508,512,512,507,512,513,515,508,504,505,506,510,U
511,515,518,512,510,508,514,513,504,513,513,509,510,508,508,512,512,510,512,507,514,510,516,514,510,506,509,515,507,514,507,509,515,510,513,511,517,512,508,511,508,510,508,508,514,512,510,508,512,510,505,512,512,511,510,506,512,512,510,516,512,512,509,506,508,512,506,518,513,514,509,510,508,510,506,U
508,507,505,506,505,505,512,510,516,516,512,507,510,513,512,507,510,510,512,511,510,513,508,508,512,509,510,508,506,509,510,512,513,509,507,506,507,511,513,511,513,512,513,511,507,512,510,507,507,506,506,508,511,508,515,516,508,512,512,512,513,512,510,508,511,512,512,510,506,509,506,510,510,510,508,U
504,509,511,510,511,513,510,512,507,513,514,508,511,510,508,509,508,510,512,515,512,510,510,510,513,513,512,510,508,511,518,516,513,510,510,508,504,508,511,513,511,512,509,508,508,508,508,513,511,513,508,508,511,512,511,510,512,510,509,510,508,505,515,515,512,508,508,507,512,513,517,510,510,510,508,U
512,516,515,510,508,505,510,515,511,515,511,508,508,510,508,513,509,504,508,505,510,512,516,512,512,504,509,510,513,510,516,510,515,514,508,506,510,505,511,516,511,510,511,511,507,511,506,512,508,512,512,512,506,513,510,510,511,508,510,510,513,510,508,506,511,508,508,508,510,510,512,510,509,510,513,U
512,513,512,512,510,506,505,505,509,512,512,511,510,512,510,513,515,512,513,508,509,512,508,513,514,512,510,511,512,511,512,509,512,514,510,514,519,506,506,510,505,508,518,515,513,516,512,510,510,506,506,512,514,512,510,514,511,512,513,508,510,509,508,512,505,510,511,511,514,515,508,512,510,512,512,U
512,506,510,507,508,512,508,506,511,512,506,510,508,504,510,516,513,515,512,511,512,510,513,512,508,513,510,505,510,508,515,514,508,510,509,508,512,502,509,510,513,519,512,511,512,513,512,509,509,510,512,509,506,506,512,512,515,512,512,504,505,510,516,514,510,512,512,512,514,508,508,513,514,512,510,U
512,509,510,511,514,508,505,506,505,512,510,506,506,507,509,514,516,513,515,510,510,512,506,512,508,506,504,505,508,510,513,512,514,516,508,510,510,508,511,512,510,508,510,508,507,508,510,507,511,507,508,512,508,510,512,514,513,510,512,513,510,512,512,511,512,510,508,512,512,508,510,513,512,507,508,U
513,513,512,515,510,506,508,510,510,507,513,514,515,512,508,508,504,512,513,505,513,511,512,504,505,510,508,512,510,510,508,508,512,512,514,514,512,511,511,515,512,510,510,505,508,512,507,512,510,509,518,512,512,513,506,512,513,510,512,510,512,514,512,515,519,510,505,506,502,504,510,513,508,507,509,U
513,513,510,508,509,510,508,511,512,513,512,506,505,510,513,510,508,510,511,512,513,510,512,511,512,507,505,507,505,505,508,518,512,508,511,509,510,509,507,510,508,512,513,515,513,513,508,509,506,509,514,512,513,508,507,510,512,508,508,512,510,512,514,514,512,512,512,512,512,512,513,510,507,510,506,U
510,507,508,510,508,505,513,512,509,510,512,510,511,512,508,511,509,510,509,510,510,513,513,508,510,508,508,515,512,506,513,512,505,506,512,513,517,512,509,509,509,506,510,510,506,508,507,515,515,508,508,507,510,514,512,511,509,508,508,510,507,505,510,512,507,508,512,512,516,517,515,511,514,512,512,U
511,510,508,510,512,517,513,512,507,508,516,509,510,508,507,512,515,511,502,506,510,510,510,509,512,516,515,508,507,507,510,515,513,510,508,512,515,512,508,509,508,508,512,512,515,509,511,515,518,508,508,510,511,513,511,504,500,497,505,513,512,515,513,516,522,516,512,512,510,505,508,506,502,502,505,U
515,513,512,514,518,517,520,515,508,505,504,505,514,514,508,513,512,518,516,508,498,502,498,508,518,522,514,505,509,505,510,515,515,503,509,505,510,515,510,513,508,514,512,514,510,512,508,504,504,502,511,514,518,512,510,504,510,510,513,508,510,510,508,510,510,519,514,512,508,513,511,511,506,507,504,U
508,516,514,520,519,520,512,508,501,504,499,504,513,512,508,510,518,513,516,512,513,504,507,509,515,512,513,519,510,505,502,505,504,512,511,513,507,506,502,512,512,512,512,518,516,513,512,504,510,504,511,512,510,501,502,504,508,513,514,518,514,514,504,506,502,512,508,510,508,507,507,502,512,514,508,U
508,508,505,509,508,508,516,518,514,514,513,514,516,508,505,513,504,514,523,511,510,504,508,500,510,510,513,508,505,510,512,514,512,515,507,511,512,512,504,505,505,504,505,517,512,517,511,504,505,506,506,505,516,510,512,512,505,510,509,512,515,512,513,508,510,516,512,508,504,507,514,511,511,512,510,U
515,517,507,512,507,506,509,513,509,519,506,510,508,505,511,516,514,518,515,512,510,512,505,511,509,510,506,508,508,515,515,512,512,506,508,504,516,514,518,508,508,504,513,512,513,508,514,506,512,510,513,510,509,506,509,506,516,515,521,514,512,506,505,506,508,516,510,507,508,510,512,512,505,508,507,U
511,512,520,514,513,512,514,509,512,506,513,508,511,508,510,504,509,508,508,510,512,511,512,512,508,516,515,520,516,516,512,516,508,509,506,507,506,510,503,506,500,508,513,515,511,518,511,509,508,512,510,513,510,506,502,505,510,508,514,508,510,508,520,512,514,512,512,512,514,505,506,506,518,515,513,U
505,508,508,512,506,506,507,510,512,510,512,508,513,510,512,510,515,512,513,510,512,509,520,512,510,505,512,509,516,510,511,513,512,508,510,506,512,510,508,508,505,509,513,516,506,509,502,512,512,512,515,514,508,510,506,512,512,514,513,506,505,506,509,512,518,512,504,505,510,512,514,513,508,508,512,U
513,512,510,511,508,515,510,510,508,508,512,512,515,518,512,504,508,514,516,510,522,507,509,515,512,504,505,512,515,513,509,510,512,518,518,505,501,507,513,510,512,512,506,515,512,507,509,513,508,502,508,504,512,520,512,508,512,509,504,507,505,519,520,514,512,511,513,524,510,508,513,514,510,508,504,U
505,514,509,505,518,516,508,510,505,512,511,507,504,504,512,510,508,504,507,510,514,516,515,514,516,507,508,510,516,511,518,520,511,511,503,510,508,508,507,508,504,516,510,516,518,521,513,518,508,505,508,502,500,502,502,504,518,508,507,505,512,512,520,511,522,512,513,507,508,507,513,505,508,514,512,U
512,508,510,505,512,509,522,515,517,508,515,512,505,503,505,508,508,510,500,510,515,515,508,514,507,514,510,512,511,513,521,506,508,510,512,508,508,509,513,518,508,515,507,513,505,509,514,515,516,508,512,504,508,502,506,509,512,507,506,511,515,514,510,506,509,511,511,516,512,517,514,513,505,507,510,U
512,512,511,511,515,514,508,503,505,510,511,513,515,513,516,514,508,508,506,510,512,510,510,509,510,512,507,505,509,507,508,510,510,514,517,516,512,508,507,508,512,513,514,510,507,508,506,504,508,513,515,514,512,509,513,514,505,512,513,512,515,516,511,508,508,503,504,504,502,510,512,508,510,514,512,U
508,505,504,508,510,512,512,513,510,513,511,510,512,512,511,512,510,510,510,508,512,512,514,515,515,514,512,508,510,511,513,511,505,510,512,516,510,508,512,514,514,515,513,512,512,510,510,512,509,510,513,508,510,508,508,510,508,506,507,504,509,508,512,511,508,508,504,505,508,511,512,514,514,512,514,U
513,512,508,508,513,512,510,512,512,506,515,518,512,518,508,512,508,507,511,513,507,508,505,505,512,509,505,514,514,515,515,508,512,502,512,512,513,505,506,508,514,512,510,513,504,512,509,508,508,512,510,515,513,512,506,505,503,510,509,508,504,502,504,514,511,512,504,509,506,515,513,510,505,512,510,U
512,515,515,510,510,505,511,512,505,505,504,508,515,517,512,518,518,509,511,508,510,512,511,508,510,513,518,518,512,510,504,509,512,508,508,512,506,511,508,512,518,516,512,508,508,503,504,504,506,511,510,512,508,512,514,509,510,511,510,510,505,507,510,506,508,512,508,508,515,515,513,513,512,508,507,U
515,515,515,513,511,510,509,513,509,512,510,508,504,508,512,510,512,512,514,513,510,508,510,511,510,512,512,508,511,512,508,505,508,506,508,513,513,508,508,512,512,515,512,507,508,510,512,510,510,510,515,512,513,512,510,513,515,513,510,511,512,515,515,514,509,505,506,505,507,505,502,504,510,515,517,U
513,508,508,513,513,510,510,506,511,516,515,510,505,511,514,511,508,507,508,515,518,508,512,512,508,504,504,513,518,517,512,512,510,510,502,504,510,512,508,508,512,510,508,505,505,512,515,512,515,521,508,509,508,508,516,510,504,512,514,508,508,510,513,513,508,513,520,513,508,508,513,508,510,514,512,U
